Avg,Left before being seen,FIPS,Facility ID,State,County Name,FIPS_code,PCTPOVALL_2020
122,1,18117,151306,IN,ORANGE,18117,13
,,36087,330405,NY,ROCKLAND,36087,14.4
279,4,4027,30013,AZ,YUMA,4027,15.2
111,0,19027,160005,IA,CARROLL,19027,7
187,2,48041,670088,TX,BRAZOS,48041,22.3
93,0,56003,531309,WY,BIG HORN,56003,11.5
160,0,55089,520207,WI,OZAUKEE,55089,4.3
,,22065,191314,LA,MADISON,22065,33.6
160,1,12086,100053,FL,MIAMI-DADE,12086,15
193,2,18089,150125,IN,LAKE,18089,15.8
120,1,40021,370089,OK,CHEROKEE,40021,19.6
179,1,42079,390270,PA,LUZERNE,42079,15.1
82,,19027,161332,IA,CARROLL,19027,7
163,1,25017,220011,MA,MIDDLESEX,25017,7.1
115,1,17021,141339,IL,CHRISTIAN,17021,9.9
168,2,21015,180045,KY,BOONE,21015,6.5
178,1,12091,100122,FL,OKALOOSA,12091,9.6
,0,56023,531315,WY,LINCOLN,56023,6.9
,,39049,363305,OH,FRANKLIN,39049,15.4
150,2,17077,140164,IL,JACKSON,17077,17.2
189,0,40143,370210,OK,TULSA,40143,12.8
133,1,6027,51324,CA,INYO,6027,10.9
173,2,12103,100032,FL,PINELLAS,12103,11.1
261,1,12086,100154,FL,MIAMI-DADE,12086,15
135,0,27121,241376,MN,POPE,27121,7.9
,,39171,361327,OH,WILLIAMS,39171,10.3
244,5,17031,140276,IL,COOK,17031,12.9
105,2,13205,111331,GA,MITCHELL,13205,38.2
236,2,4005,30023,AZ,COCONINO,4005,17.2
116,0,48479,450643,TX,WEBB,48479,19.9
199,2,6029,50295,CA,KERN,6029,18.3
106,2,42049,390198,PA,ERIE,42049,13.4
138,1,29109,261316,MO,LAWRENCE,29109,15.2
186,1,51059,490101,VA,FAIRFAX,51059,5.3
105,1,31039,281322,NE,CUMING,31039,7.9
198,1,26065,230167,MI,INGHAM,26065,13.8
175,1,47037,440006,TN,DAVIDSON,47037,12.8
148,4,17031,140158,IL,COOK,17031,12.9
138,0,5005,40027,AR,BAXTER,5005,14.4
165,0,55025,520083,WI,DANE,55025,9.6
98,,36097,331313,NY,SCHUYLER,36097,11.8
124,0,27137,241312,MN,ST. LOUIS,27137,10.1
202,2,34025,310111,NJ,MONMOUTH,34025,5.9
130,1,36057,330276,NY,FULTON,36057,11.9
115,1,29095,260193,MO,JACKSON,29095,12.4
208,,6037,50704,CA,LOS ANGELES,6037,13.2
273,4,37133,340042,NC,ONSLOW,37133,12.5
139,1,48041,450011,TX,BRAZOS,48041,22.3
120,2,1109,10126,AL,PIKE,1109,19.7
144,,48127,451390,TX,DIMMIT,48127,25.5
,,17117,141306,IL,MACOUPIN,17117,10.8
158,0,53007,500016,WA,CHELAN,53007,8.3
125,0,18057,150059,IN,HAMILTON,18057,4.2
116,0,1121,10164,AL,TALLADEGA,1121,16.9
150,2,38035,350019,ND,GRAND FORKS,38035,12.7
95,1,48487,450584,TX,WILBARGER,48487,14.6
180,1,9009,70017,CT,NEW HAVEN,9009,11.2
120,0,39139,360365,OH,RICHLAND,39139,12.7
86,0,31097,281350,NE,JOHNSON,31097,12.3
106,1,12019,100226,FL,CLAY,12019,8.9
105,20,48215,450825,TX,HIDALGO,48215,23.9
,,39061,363300,OH,HAMILTON,39061,12.7
,,6037,50677,CA,LOS ANGELES,6037,13.2
134,0,27143,241311,MN,SIBLEY,27143,7.9
174,0,39153,360020,OH,SUMMIT,39153,12.1
248,2,47157,440152,TN,SHELBY,47157,19.1
106,1,17099,140110,IL,LA SALLE,17099,11.4
,,16011,130073,ID,BINGHAM,16011,11.1
,,30035,270074,MT,GLACIER,30035,24.3
181,0,34025,310075,NJ,MONMOUTH,34025,5.9
176,1,36081,330395,NY,QUEENS,36081,10.3
103,0,31169,281304,NE,THAYER,31169,9.8
,,2150,21306,AK,KODIAK ISLAND BOROUGH,2150,7.5
180,1,6073,50100,CA,SAN DIEGO,6073,9.5
77,1,1131,10102,AL,WILCOX,1131,22.2
,,47157,440159,TN,SHELBY,47157,19.1
133,0,38053,351302,ND,MCKENZIE,38053,7.5
96,2,28163,251313,MS,YAZOO,28163,31
106,0,36013,330166,NY,CHAUTAUQUA,36013,14.8
,,20169,170187,KS,SALINE,20169,9.8
117,,8083,61327,CO,MONTEZUMA,8083,12.9
120,4,17163,140077,IL,ST. CLAIR,17163,13.8
,,41053,381308,OR,POLK,41053,11.1
,,9009,70038,CT,NEW HAVEN,9009,11.2
109,2,28121,250096,MS,RANKIN,28121,10
159,1,22071,190176,LA,ORLEANS,22071,21.1
96,0,19049,161322,IA,DALLAS,19049,4.4
217,3,33013,300001,NH,MERRIMACK,33013,6.7
175,1,19193,160146,IA,WOODBURY,19193,11.3
140,0,42129,390219,PA,WESTMORELAND,42129,9.3
69,0,38061,351301,ND,MOUNTRAIL,38061,11
118,0,13175,110125,GA,LAURENS,13175,20.7
196,1,26099,230227,MI,MACOMB,26099,9.2
,,,400011,PR,HUMACAO,,
120,,56023,531313,WY,LINCOLN,56023,6.9
126,1,29117,261321,MO,LIVINGSTON,29117,12.8
88,0,18105,150183,IN,MONROE,18105,18.2
129,1,48181,450324,TX,GRAYSON,48181,13.6
162,1,13255,110031,GA,SPALDING,13255,17.9
172,0,12086,100034,FL,MIAMI-DADE,12086,15
,,4013,30112,AZ,MARICOPA,4013,11.6
171,1,6073,50024,CA,SAN DIEGO,6073,9.5
128,0,8117,60118,CO,SUMMIT,8117,6.1
80,,16007,131316,ID,BEAR LAKE,16007,9.5
,,72009,400018,PR,AIBONITO,,
120,0,20133,171380,KS,NEOSHO,20133,13.8
106,1,1023,11304,AL,CHOCTAW,1023,20.4
133,1,31055,280060,NE,DOUGLAS,31055,9.8
,2,28125,251338,MS,SHARKEY,28125,30.3
73,1,30079,271309,MT,PRAIRIE,30079,12.8
81,0,36089,331315,NY,ST. LAWRENCE,36089,14.7
,,4001,30071,AZ,APACHE,4001,32.4
108,0,12101,100191,FL,PASCO,12101,11.4
123,1,29079,261309,MO,GRUNDY,29079,15.1
172,2,41043,380022,OR,LINN,41043,11.3
187,3,13261,110044,GA,SUMTER,13261,24.3
191,2,17201,140228,IL,WINNEBAGO,17201,14.6
,,48141,453313,TX,EL PASO,48141,17.6
,,48461,451309,TX,UPTON,48461,12.1
,,37173,340156,NC,SWAIN,37173,13.9
140,1,19061,160117,IA,DUBUQUE,19061,8.9
171,0,6065,50775,CA,RIVERSIDE,6065,11.2
133,2,48133,450411,TX,EASTLAND,48133,17
103,,5061,41311,AR,HOWARD,5061,16.7
92,1,1027,10073,AL,CLAY,1027,14.2
161,,33003,301307,NH,CARROLL,33003,7.5
153,3,48373,450395,TX,POLK,48373,15
178,1,36077,330136,NY,OTSEGO,36077,12.8
169,3,6099,50179,CA,STANISLAUS,6099,13
170,1,48339,450222,TX,MONTGOMERY,48339,8.2
160,1,31153,280132,NE,SARPY,31153,4.9
228,1,6037,50485,CA,LOS ANGELES,6037,13.2
,,37141,341307,NC,PENDER,37141,12.3
88,0,38055,351304,ND,MCLEAN,38055,8.4
102,0,49049,460052,UT,UTAH,49049,7.8
263,7,37083,340151,NC,HALIFAX,37083,23.9
210,1,17031,140018,IL,COOK,17031,12.9
140,1,13299,110003,GA,WARE,13299,26
224,3,18095,150088,IN,MADISON,18095,12.1
,,41051,383300,OR,MULTNOMAH,41051,11.2
124,1,17073,141325,IL,HENRY,17073,9.6
183,5,6001,50320,CA,ALAMEDA,6001,8.6
184,2,42125,390147,PA,WASHINGTON,42125,8.6
183,1,36119,330086,NY,WESTCHESTER,36119,7.6
88,0,19131,161323,IA,MITCHELL,19131,8.9
202,3,36029,330078,NY,ERIE,36029,13.2
129,1,37179,340130,NC,UNION,37179,7
,0,8017,61343,CO,CHEYENNE,8017,12.3
111,0,1123,10052,AL,TALLAPOOSA,1123,15.2
129,0,32003,290012,NV,CLARK,32003,13.2
151,1,12011,100073,FL,BROWARD,12011,11
122,1,20015,170017,KS,BUTLER,20015,8.7
,,28133,251318,MS,SUNFLOWER,28133,34.8
,,72113,400003,PR,PONCE,,
123,1,19125,161355,IA,MARION,19125,8
180,1,37087,340184,NC,HAYWOOD,37087,13.6
172,3,24510,210034,MD,BALTIMORE CITY,24510,20
177,0,17031,140117,IL,COOK,17031,12.9
184,1,25017,220105,MA,MIDDLESEX,25017,7.1
130,3,13143,111320,GA,HARALSON,13143,15.5
164,2,48037,450200,TX,BOWIE,48037,17.4
90,4,40015,371314,OK,CADDO,40015,18.3
248,4,42011,390044,PA,BERKS,42011,10.9
,,48201,670005,TX,HARRIS,48201,15.9
,,2220,21314,AK,SITKA BOROUGH,2220,7.4
178,0,36069,330074,NY,ONTARIO,36069,8.8
221,1,9009,70016,CT,NEW HAVEN,9009,11.2
153,1,48453,450431,TX,TRAVIS,48453,10.2
143,1,51073,490130,VA,GLOUCESTER,51073,7.9
132,0,32003,291309,NV,CLARK,32003,13.2
,,28061,250018,MS,JASPER,28061,19.3
,,46005,431335,SD,BEADLE,46005,12.6
128,1,21171,180105,KY,MONROE,21171,22.5
260,5,4013,30014,AZ,MARICOPA,4013,11.6
196,1,25017,220171,MA,MIDDLESEX,25017,7.1
148,2,23011,200041,ME,KENNEBEC,23011,11.2
102,0,21001,180149,KY,ADAIR,21001,22.1
110,0,48439,450672,TX,TARRANT,48439,10.5
113,2,20059,170014,KS,FRANKLIN,20059,8.9
127,1,47055,440020,TN,GILES,47055,12.5
203,1,42101,390204,PA,PHILADELPHIA,42101,19.4
187,3,6071,50298,CA,SAN BERNARDINO,6071,14.3
271,5,53063,500054,WA,SPOKANE,53063,13.4
136,0,55111,520057,WI,SAUK,55111,8.1
130,0,12103,100248,FL,PINELLAS,12103,11.1
132,5,28133,250095,MS,SUNFLOWER,28133,34.8
,,72127,400015,PR,SAN JUAN,,
,,34005,310031,NJ,BURLINGTON,34005,6
215,3,1073,10104,AL,JEFFERSON,1073,14.4
119,,6063,51326,CA,PLUMAS,6063,13.5
192,1,48273,450163,TX,KLEBERG,48273,20.8
210,1,13067,110143,GA,COBB,13067,9.2
166,1,29051,260047,MO,COLE,29051,9.3
137,1,17181,141342,IL,UNION,17181,14
135,3,30083,271344,MT,RICHLAND,30083,8
213,3,37039,341328,NC,CHEROKEE,37039,15.1
359,6,,90001,DC,THE DISTRICT,,
130,0,27139,241361,MN,SCOTT,27139,4.3
136,,36061,330199,NY,NEW YORK,36061,16.3
100,0,49007,460011,UT,CARBON,49007,12.8
196,1,48439,670023,TX,TARRANT,48439,10.5
216,2,21093,180012,KY,HARDIN,21093,11.2
162,1,47071,440109,TN,HARDIN,47071,14.8
198,1,48113,450462,TX,DALLAS,48113,13.7
149,,22055,190102,LA,LAFAYETTE,22055,16.2
123,1,53007,500148,WA,CHELAN,53007,8.3
180,2,53057,500003,WA,SKAGIT,53057,9.5
,,53033,503300,WA,KING,53033,7.6
167,1,42071,390225,PA,LANCASTER,42071,7.7
236,4,45079,420018,SC,RICHLAND,45079,16
165,0,48453,450809,TX,TRAVIS,48453,10.2
110,0,5015,41329,AR,CARROLL,5015,14.1
121,5,1039,10007,AL,COVINGTON,1039,17.1
165,0,48029,670112,TX,BEXAR,48029,15
104,,19169,161333,IA,STORY,19169,12.4
159,2,37027,340041,NC,CALDWELL,37027,13
128,1,21209,180101,KY,SCOTT,21209,8
122,3,5045,40154,AR,FAULKNER,5045,12
155,2,17119,140125,IL,MADISON,17119,11
122,0,55017,521311,WI,CHIPPEWA,55017,9.4
203,2,26163,230089,MI,WAYNE,26163,20
140,1,47045,440072,TN,DYER,47045,16.7
229,,1125,10092,AL,TUSCALOOSA,1125,14.4
104,0,21081,181311,KY,GRANT,21081,12.8
178,3,6013,50276,CA,CONTRA COSTA,6013,7.2
168,1,48201,450638,TX,HARRIS,48201,15.9
,,20091,170199,KS,JOHNSON,20091,4.6
128,0,40109,370236,OK,OKLAHOMA,40109,15.2
238,0,6065,50292,CA,RIVERSIDE,6065,11.2
160,,4017,31311,AZ,NAVAJO,4017,23.3
101,3,6011,50783,CA,COLUSA,6011,10.3
196,4,6037,50471,CA,LOS ANGELES,6037,13.2
89,1,30035,271337,MT,GLACIER,30035,24.3
110,1,40093,371329,OK,MAJOR,40093,11.5
148,1,6107,50784,CA,TULARE,6107,17.1
109,0,39039,360270,OH,DEFIANCE,39039,8.5
126,0,18109,150057,IN,MORGAN,18109,8.5
172,1,4015,30117,AZ,MOHAVE,4015,15.3
137,1,6041,50131,CA,MARIN,6041,6
,,2180,21308,AK,NOME,2180,18.8
100,2,40143,370078,OK,TULSA,40143,12.8
162,2,18029,150086,IN,DEARBORN,18029,7.8
175,1,12081,100035,FL,MANATEE,12081,10.9
188,1,51510,490040,VA,ALEXANDRIA CITY,51510,8
132,3,1057,10086,AL,FAYETTE,1057,16.5
130,1,6037,50779,CA,LOS ANGELES,6037,13.2
103,0,55125,521300,WI,VILAS,55125,9.7
190,1,34023,310010,NJ,MIDDLESEX,34023,7.4
116,0,17173,140019,IL,SHELBY,17173,8.9
112,0,30023,271335,MT,DEER LODGE,30023,17.9
243,2,4013,30065,AZ,MARICOPA,4013,11.6
210,0,25027,220176,MA,WORCESTER,25027,9.5
128,1,19007,161377,IA,APPANOOSE,19007,14.6
108,,37149,341322,NC,POLK,37149,12
162,1,48085,450840,TX,COLLIN,48085,6.2
127,0,18031,151332,IN,DECATUR,18031,10
148,1,48479,450029,TX,WEBB,48479,19.9
169,1,21151,180049,KY,MADISON,21151,15.5
,,53063,503302,WA,SPOKANE,53063,13.4
152,1,21227,180124,KY,WARREN,21227,18.7
140,0,48095,451325,TX,CONCHO,48095,13.5
110,0,6111,50549,CA,VENTURA,6111,9.1
155,2,51083,490013,VA,HALIFAX,51083,17.8
196,1,48201,450684,TX,HARRIS,48201,15.9
140,0,6079,50506,CA,SAN LUIS OBISPO,6079,10.6
162,,53047,501328,WA,OKANOGAN,53047,19.8
141,1,27137,240040,MN,ST. LOUIS,27137,10.1
,,39153,363303,OH,SUMMIT,39153,12.1
,,28019,251334,MS,CHOCTAW,28019,18.7
126,,16053,131310,ID,JEROME,16053,12.3
144,0,48061,450028,TX,CAMERON,48061,24.4
144,1,55043,521322,WI,GRANT,55043,12
150,0,42093,390006,PA,MONTOUR,42093,9
184,0,42029,390153,PA,CHESTER,42029,5.2
134,2,48201,450644,TX,HARRIS,48201,15.9
170,2,48397,670044,TX,ROCKWALL,48397,4.8
249,5,44003,410009,RI,KENT,44003,7.5
183,3,48189,450539,TX,HALE,48189,17.6
208,1,51085,490069,VA,HANOVER,51085,5
125,1,18135,151301,IN,RANDOLPH,18135,12.4
199,2,13135,110230,GA,GWINNETT,13135,10.4
88,0,40071,370030,OK,KAY,40071,15.3
119,0,55079,520136,WI,MILWAUKEE,55079,19
197,1,39141,360159,OH,ROSS,39141,15
152,1,42069,390119,PA,LACKAWANNA,42069,12.2
126,1,48423,450102,TX,SMITH,48423,12.7
150,0,29001,260022,MO,ADAIR,29001,17.9
135,,20027,171371,KS,CLAY,20027,9.8
118,1,5075,41309,AR,LAWRENCE,5075,19.2
107,2,48113,450422,TX,DALLAS,48113,13.7
98,0,39131,361334,OH,PIKE,39131,17.4
102,2,36059,330027,NY,NASSAU,36059,5.7
113,0,39011,360032,OH,AUGLAIZE,39011,5.9
,,13121,113301,GA,FULTON,13121,13
165,,8045,60075,CO,GARFIELD,8045,6.7
138,,31161,281358,NE,SHERIDAN,31161,13.8
325,2,6019,50492,CA,FRESNO,6019,17.1
162,2,13227,110225,GA,PICKENS,13227,10.5
,,6081,50070,CA,SAN MATEO,6081,5.5
149,2,41065,380001,OR,WASCO,41065,12.4
,0,17195,141329,IL,WHITESIDE,17195,9.1
,,54039,510031,WV,KANAWHA,54039,15.7
108,0,16087,131307,ID,WASHINGTON,16087,14.2
116,0,42131,390192,PA,WYOMING,42131,10.4
148,1,21037,180001,KY,CAMPBELL,21037,10.6
108,0,6093,51319,CA,SISKIYOU,6093,14.3
140,2,34007,310022,NJ,CAMDEN,34007,12.4
188,2,1003,10083,AL,BALDWIN,1003,8.9
140,0,26147,230241,MI,ST. CLAIR,26147,12.4
77,0,5083,41318,AR,LOGAN,5083,15.8
150,1,53031,501323,WA,JEFFERSON,53031,10.6
94,0,20205,171344,KS,WILSON,20205,14.3
220,2,25013,220024,MA,HAMPDEN,25013,14.3
132,,19167,161346,IA,SIOUX,19167,6.5
83,1,48251,670107,TX,JOHNSON,48251,9.5
200,2,48309,450042,TX,MC LENNAN,48309,17
68,0,1079,10059,AL,LAWRENCE,1079,15.4
195,1,13291,110051,GA,UNION,13291,12.9
119,1,41029,380005,OR,JACKSON,41029,11.9
163,0,51059,490063,VA,FAIRFAX,51059,5.3
102,,48073,451319,TX,CHEROKEE,48073,16.7
112,0,12083,100212,FL,MARION,12083,15.3
137,2,18089,150008,IN,LAKE,18089,15.8
162,1,55039,520088,WI,FOND DU LAC,55039,7.6
156,0,32003,290003,NV,CLARK,32003,13.2
89,1,21057,181317,KY,CUMBERLAND,21057,21
166,,30021,271332,MT,DAWSON,30021,10.8
117,,38099,351326,ND,WALSH,38099,10.6
190,1,25009,220033,MA,ESSEX,25009,9
118,1,17033,141343,IL,CRAWFORD,17033,11
193,1,42003,390102,PA,ALLEGHENY,42003,10.5
188,0,45013,420080,SC,BEAUFORT,45013,9.6
98,1,1009,11305,AL,BLOUNT,1009,13.1
,,47093,443303,TN,KNOX,47093,10.9
112,0,30029,271336,MT,FLATHEAD,30029,10.5
282,3,42043,390256,PA,DAUPHIN,42043,11.6
169,4,17031,140133,IL,COOK,17031,12.9
157,1,6037,50112,CA,LOS ANGELES,6037,13.2
202,3,47063,440030,TN,HAMBLEN,47063,15
,,6037,51307,CA,LOS ANGELES,6037,13.2
,,18091,150191,IN,LA PORTE,18091,12.1
132,0,48439,450087,TX,TARRANT,48439,10.5
182,1,26163,230104,MI,WAYNE,26163,20
130,0,8013,60128,CO,BOULDER,8013,9.5
69,0,38067,351319,ND,PEMBINA,38067,7.6
157,1,51760,490059,VA,RICHMOND CITY,51760,17.9
,,6067,53311,CA,SACRAMENTO,6067,12.5
181,2,48135,450661,TX,ECTOR,48135,13.6
231,5,47093,440173,TN,KNOX,47093,10.9
132,0,49011,460042,UT,DAVIS,49011,5
186,1,25005,220008,MA,BRISTOL,25005,10.1
200,1,34009,310011,NJ,CAPE MAY,34009,9.6
179,1,17119,140289,IL,MADISON,17119,11
,,19125,161367,IA,MARION,19125,8
128,3,1035,10148,AL,CONECUH,1035,22.9
222,3,24043,210001,MD,WASHINGTON,24043,12.3
180,1,26077,230117,MI,KALAMAZOO,26077,12
208,1,50003,470012,VT,BENNINGTON,50003,10.4
141,0,6059,50589,CA,ORANGE,6059,9
176,1,20091,170049,KS,JOHNSON,20091,4.6
136,1,1043,10035,AL,CULLMAN,1043,12.5
,,40113,371318,OK,OSAGE,40113,13
144,1,48477,450187,TX,WASHINGTON,48477,11.7
258,3,28049,250048,MS,HINDS,28049,25.9
168,5,48465,450154,TX,VAL VERDE,48465,15.6
76,0,38009,351307,ND,BOTTINEAU,38009,9.7
248,1,48375,450231,TX,POTTER,48375,20.8
,,48153,451337,TX,FLOYD,48153,17.7
197,2,27003,240115,MN,ANOKA,27003,7.1
131,1,35051,321300,NM,SIERRA,35051,22.1
158,2,35015,320063,NM,EDDY,35015,12.8
,,2070,21309,AK,DILLINGHAM,2070,18.7
165,2,39061,360179,OH,HAMILTON,39061,12.7
80,,54091,511307,WV,TAYLOR,54091,13.7
122,1,6059,50230,CA,ORANGE,6059,9
97,0,38019,351323,ND,CAVALIER,38019,8.5
130,1,55067,521350,WI,LANGLADE,55067,10.7
186,2,42049,390063,PA,ERIE,42049,13.4
91,1,21239,181308,KY,WOODFORD,21239,9.1
,,6001,50075,CA,ALAMEDA,6001,8.6
210,2,13113,110215,GA,FAYETTE,13113,5.3
,,19091,161334,IA,HUMBOLDT,19091,8.8
118,,18079,151303,IN,JENNINGS,18079,10.8
,,4017,31305,AZ,NAVAJO,4017,23.3
112,,,241347,MN,YELLOW MEDCINE,,
205,4,42133,390233,PA,YORK,42133,7.1
186,7,1097,10113,AL,MOBILE,1097,17.6
214,1,39145,360008,OH,SCIOTO,39145,22.8
183,2,48037,450801,TX,BOWIE,48037,17.4
100,1,29211,261306,MO,SULLIVAN,29211,15.6
171,1,42081,390045,PA,LYCOMING,42081,13.2
,,6059,53306,CA,ORANGE,6059,9
114,0,5001,41314,AR,ARKANSAS,5001,17.2
217,3,13217,110018,GA,NEWTON,13217,14.4
135,0,37111,340087,NC,MC DOWELL,37111,15.2
216,0,6059,50551,CA,ORANGE,6059,9
,2,47135,440040,TN,PERRY,47135,16.1
167,1,18097,150169,IN,MARION,18097,14.4
138,0,16019,130018,ID,BONNEVILLE,16019,9.7
179,1,27053,240078,MN,HENNEPIN,27053,9.3
182,3,24045,210019,MD,WICOMICO,24045,14.2
128,2,41031,381324,OR,JEFFERSON,41031,12.5
226,2,42079,390185,PA,LUZERNE,42079,15.1
156,1,12086,100131,FL,MIAMI-DADE,12086,15
